,dataset,our_score,target
237,LL0_296_ailerons,N/A,2.7950259065013612e-08
238,LL0_26_nursery,N/A,0.8867247818191089
239,LL0_540_mu284,0.13970946129517597,0.21446346649250797
240,LL0_40680_mofn_3_7_10,N/A,1.0
241,LL0_301_ozone_level,N/A,5.630848398131029e+26
242,LL0_452_analcatdata_broadwaymult,N/A,0.4011687433594127
243,LL0_40715_pima,0.6847601330374193,0.7106567850753898
244,LL0_1501_semeion,N/A,0.8678665562707645
245,LL0_941_lowbwt,0.8253715728715729,0.8249407887962106
246,LL0_13_breast_cancer,0.5388469862083055,0.6329757199322417
247,LL0_1506_thoracic_surgery,0.5090240968711786,0.5523130492455646
248,LL0_188_eucalyptus,N/A,0.5842374689433514
249,LL0_1442_MegaWatt1,0.46704980842911886,0.6666666666666667
250,LL0_469_analcatdata_dmft,N/A,0.1029566838390368
251,LL0_231_hungarian,0.12325041685648883,0.14309536059209094
252,LL0_1030_era,N/A,2.5331177982289503
253,LL0_uci_las_vegas_strip,N/A,1.0331844155934136
254,LL0_40509_Australian,0.8598777269818226,0.832116788321168
255,LL0_1481_kr_vs_k,N/A,0.2360835532165141
256,LL0_60_waveform_5000,0.8109329304865703,0.8679632668213552
257,LL0_1115_teachingAssistant,0.4766666666666667,0.5596710335580198
258,LL0_814_chscase_vine2,0.846190255271871,0.3548387096774194
259,LL0_1459_artificial_characters,0.8607024124599917,0.3132784929948316
260,LL0_377_synthetic_control,0.9534246989394047,0.8524572294512475
261,LL0_555_analcatdata_apnea3,6535293.4498288315,8231960.593398242
262,LL0_574_house_16h,N/A,2098772109.982634
263,LL0_801_chscase_funds,N/A,0.3869455463397044
264,LL0_1219_click_prediction_small,N/A,0.560519855539092
265,LL0_1504_steel_plates_fault,0.9929011416926097,1.0
266,LL0_1447_castmetal1,0.48265793169821886,0.6571428571428573
267,LL0_40650_GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,N/A,0.4917584579071598
268,LL0_40686_solar_flare_1,N/A,0.6788903292714545
269,LL0_1497_wall_robot_navigation,0.9849820938075211,0.6777083224925129
270,LL0_40_sonar,0.7268184593184592,0.6794871794871795
271,LL0_1523_vertebra_column,0.8093537067221277,0.7759568473854189
272,LL0_475_analcatdata_germangss,N/A,0.3150715954057985
273,LL0_1485_madelon,N/A,0.6241881639973709
274,LL0_478_collins,0.962857142857143,1.0
275,LL0_39_ecoli,0.7684499243446612,0.5976968879901134
276,LL0_733_machine_cpu,0.8963352007469656,0.8844820947246823
277,LL0_335_monks_problems_3,N/A,1.0
278,LL0_1122_ap_breast_prostate,N/A,0.981854472872437
279,LL0_1520_robot_failures_lp5,0.4784999999999999,0.4694949494949495
280,LL0_23397_comet_mc_sample,N/A,0.017063327902994908
281,LL0_4541_diabetes130us,N/A,0.35667078668708724
282,LL0_40708_allrep,0.5426852702167955,0.6509931676785752
283,LL0_15_breast_w,N/A,0.9684807256235828
284,LL0_1028_swd,N/A,0.43787466175945
285,LL0_488_colleges_aaup,0.7601343338201523,0.7258219779313433
286,LL0_uci_facebook_metrics,N/A,410117293.0625795
287,LL0_14_mfeat_fourier,0.7957798481036055,0.8507707665194302
288,LL0_23_cmc,0.47088058962388796,0.4532279802182715
289,LL0_225_puma8nh,N/A,19.662984882444345
290,LL0_1176_internet_advertisements,N/A,0.9241254150899684
291,LL0_195_auto_price,10147366.967042172,11784631.914056687
292,LL0_1466_cardiotocography,1.0,0.2301204819277109
293,LL0_40475_thyroid_allhyper,0.4743235348314959,0.3827830341807193
294,LL0_811_rmftsa_ctoarrivals,0.9422885009727114,0.8958333333333334
